,中文文本,英文,西文,,
channelType,頻道類型,Channel Category,Categoría,,
subscriberCount,訂閱數,Subscribers,Suscriptores,,
totalViewCount,總觀看數,Total Views,Vistas Totales,,
totalEngegementCount,總互動數,Total Engagements,La tasa de interacción,,
avgEngageRate,平均互動率,Avg Engagement,La tasa de interacción media,,
videoCount,影片總數,Total videos,Número de videos,,
recentAvgViewCount,近20支平均觀看數,Avg views of 20 videos,Vistas prom. de los últimos 20 vídeos,太長惹,
recentAvgEngageRate,近20支平均互動率,Avg eng of 20 videos,Interacción media de los último 20 vídeos,太長惹,
twoMonthAvgViewCount,近2個月平均觀看數,Avg views in last 2 month,Vistas prom. en los últimos 2 meses,太長惹,
twoMonthAvgEngageRate,近2個月平均互動率,Avg eng in last 2 month,Interacción media de los último 20 vídeos,太長惹,
todaySubscriberCount,日訂閱數,Daily Subscribers,Suscriptores Diarios,,
todaySubscriberRate,日訂閱成長率,Daily Subscriptions Growth,Crecimiento de suscriptores diarios,,
todayViewCount,日觀看數,Daily Views,Vistas Diarias,,
todayViewRate,日觀看成長率,Daily Views Growth,Crecimineto de vistas diarias,,
monthSubscriberCount,月訂閱數,Monthly Subscribers,Suscriptores Mensuales,,
monthSubscriberRate,月訂閱成長率,Monthly Subscriptions Growth,Crecimiento mensual de suscriptores ,,
monthViewCount,月觀看數,Monthly Views,Visualizaciones de mes,,
monthViewRate,月觀看成長率,Monthly Views Growth,Crecimiento de visualizaciones de mes,,
,,,,,
nav_service,服務與方案,Pricing,Precio,,
nav_pricing,付費方案,Pricing,Precio,,
nav_contact,聯絡我們,Contact,Contáctenos,,
nav_start,開始使用,Start,Empice Ya,,
nav_user_login,帳號登入,Login,Inciar Seción,,
nav_googlelogin,使用 Google 帳號登入,Login with Google,Inciar seción con Google,,
nav_email,Email 帳號,Email,Email,,
nav_password,密碼,Password,Contraseña,,
nav_login,登入,Login,Inciar Sesión,,
,,,,,
user_givememoneyfirst,請先升級方案以使用,Please upgrade account plan to use,Actualizar ahora,,
user_check_pricing,查看方案,Check Pricing,Precio,,
user_not_now,不是現在,Not Now,Ahora no,,
user_unlock_data,升級以獲得資料,Unlock Data,Actualizar ahora,,
,,,,,
user_forget_password,忘記密碼,Forgot password,Olvidé mi contraseña,,
user_your_email,輸入信箱以取得密碼,your email,Correo electrónico,,
user_send_email,發送信件,Send verify mail,Envía el correo de verificación,*padding 20 更改,
,,,,,
user_fast_signup,快速註冊,Sign up,Registrarse,,
user_googlesignup,使用 Google 帳號註冊,Sign up with Google,Regístrase con Google,,
user_email_signup,Email （作為帳號與收取驗證信）,Email (Your account and receiving a verification email),La dirección de email (para ser su cuenta y recibir el correo de verificación),,
user_password_signup,密碼（限制8 - 24位英文與數字）,Password (8-24 characters),Contraseña (8-24 caracteres de longitud),,
user_confirm_password,請再次輸入密碼,Confirm password,Confirmar la contraseña,,
user_signup,註冊,Sign up,Registrarse,,
user_already_signup,已經註冊過了?,Already Sign up?,¿Ya te registaste?,,
user_has_been_taken,email已被使用,Email has been taken,El email ya esta en uso,,
user_has_not_been_taken,此信箱尚未註冊,Email has not  been taken,Correo electrónico válido,,
user_signup_success,註冊成功，請至信箱收取驗證信,Sign up success. Please check your email to verify.,¡Registro exitoso! Compruebe si recibiste el correo de verificación.,,
user_email_verify,驗證信發送成功，請至信箱收件,The mail has been sent! Please check to verify.,Compruebe si recibiste el correo electrónicode veriificación.,,
user_terms_agree,我同意,I agree,Acepeto,,
,,,,,
user_invalid_account_or_password,密碼錯誤，檢查或點選下方忘記密碼,"Invalid password, recheck or click Forget password",La contraseña no es válida. ¿Olvidaste la contraseña?,,
user_account_not_verifiied,帳號未驗證，請至信箱收取驗證信,The account has not been verified. Please check your email to verify.,La cuenta no esta verificada.Compruebe si recibiste el correo electrónicode veriificación.,,
user_correct_email_format,請輸入正確的email格式,Please enter the correct email format.,Compruebe si el e-mail que has introducido es correcto,,
user_account_not_exist,此帳號不存在,This account doesn’t exist.,El usuario no existe.,,
,,,,,
user_active_verifying,資料驗證中...請稍後,Verifying ... Please wait,"Espere, por favor.",,
,,,,,
slide_ranking,排行榜,Ranking,Ranking,,
slide_search,網紅檢索,Search,Buscar,,
slide_project_management,提案管理,Proposals,Propuesta,,
slide_lottery,抽獎助手,Comment Picker,Sorteo de comentarios,太長惹,
,,,,,
404_coming_soon_01,Oops! 404 Error.,Oops! 404 Error.,"Uy, Error 404.",,
404_coming_soon_02,頁面不存在,Page not found.,PÁGINA NO ENCONTRADA,,
404_comingsoon_01,為了服務品牌、代理商以及 YouTube 創作者（YouTuber），,"For service brands, agencies and YouTubers, ","Ofrecemos servicios de analíticas de redes sociales para las marcas, agencias y los influencers.",,
404_comingsoon_02,InteRed將提供創作者檢索、數據圖表、提案管理等功能，,"InteRed provides tools like influencers searching, data graphics and project management","Ofrecemos una herramienta para buscar el youtuber, reportar los datos, gestionar las propuestas.",,
404_comingsoon_03,讓您在 YouTube 行銷活動上感受前所未有的便利。,to optimize your YouTube marketing or business.,"Con InteRed, usted puede aquirir las informaciones sobre los influencers.",,
404_learn_more,了解更多,Learn more,Más Informacíon,,
,,,,,
lottery_title_01,YouTube 影片留言抽獎,Lucky draw  for YouTube Comments,Sorteo de Comentarios de YouTube,,
lottery_title_02,,,,,
lottery_intro,為了讓品牌、代理商以及 YouTube 創作者（YouTuber）行銷活動執行更順利，InteRed 提供方便快速的抽獎小工具供使用，只要貼上影片網址、輸入篩選關鍵字及抽出人數就可以立即抽出名單！,"We provide services for brands, agencies and YouTubers' marketing projects on YouTube more convenient, InteRed provides the handiest lottery tools. Just paste the video URL, fill in the keyword and winners, and click draw.","Ofrecemos una herramienta de sorteo con uso fácil para las marca, las agencias y youtubers. Al introducir el URL del video, palabra clave y números sorteados ya sale la lista!",,
,,,,,
,,,,,
,,,,,
lottery_url,影片網址,URL,URL,,
lottery_url_example,https://www.youtube.com/watch?v=XXXXXXXXXX,https://www.youtube.com/watch?v=XXXXXXXXXX,https://www.youtube.com/watch?v=XXXXXXXXXX,,
lottery_paste_url,請完整貼上影片網址,Paste full URL here,Pegar URL ,,
,,,,,
lottery_keyword,抽獎關鍵字,Keyword,La palabra clave,,
lottery_nokeyword,若無需篩選抽獎關鍵字，請保持欄位空白,"If no need for keyword, left the column blank","Si no tiene la palabra clave, déjelo en blanco",,
,,,,,
lottery_winners,抽出人數,Winners,El número de ganadores,,
lottery_number,請輸入數字,Please fill in the number,introduzca números,,
,,,,,
lottery_start,開始抽獎！,Start,¡Empieza!,,
,,,,,
lottery_result,抽獎結果,Result,Resultado,,
lottery_name,留言名稱,Name,Nombre,,
lottery_content,留言內容,Content,Comentario,,
lottery_time,留言時間(最後編輯),Time (last edited),última modificaión,,
lottery_redraw,重新抽獎,Redraw,¡Hazlo otra vez!,,
lottery_url_error,注意：請輸入 YouTube 影片網址,Paste the video URL!,"Por favor, introduce el URL del vídeo",,
lottery_keyword_error,注意：無留言符合抽獎關鍵字,No comment match the keyword!,Los comentario no coinciden la palabra clave!,,
lottery_amount_error,注意：留言人數不足抽出人數,The number of winners more than the number of comments!,El número de ganadores es más que el número de comentarios!,,
lottery_unknown_error,錯誤：請確認輸入的是有效影片,Error. Please confirm your video is valid.,"Por favor, introduce un vídeo válido",,
,,,,,
,"讓最了解 YouTube 的 InteRed
協助您的創作與品牌成長！","Let InteRed, who knows YouTube best, support your creation and business growth!",,,
,"留下您的Email，
當產品上線時我們將會優先通知，讓您搶先體驗完整付費功能！",Enter your email address and we will first let you know when our products go live.,,,
,請輸入您的Email,Enter your email address,,,
,成功送出資料，敬請耐心等候！,Your subscription has been confirmed. You've been added to our list and will hear from us soon.,,,
,,,,,
pricing,方案價格,Pricing,Precio,,
pricing_rank_01,完整排行榜,Full Ranking List,Lista de ranking,,
pricing_rank_02,8個關鍵數據分類排行榜,8 Key Data Metrics,8 datos claves sobre el canal,,
pricing_rank_03,"全球20,000+頻道排行",Global Channels Ranking,Ranking de YouTube en el mundo,,
pricing_info_01,網紅檢索,Find YouTube Influencers,Buscar sobre el influencer,,
pricing_info_02,網紅頻道與作品完整檢索,All Channels & Videos Search,Buscar sobre el influencer o el vídeo,,
pricing_info_03,10+客製化篩選與排序,Fliters and Sorts ,clasificar y filtrar,,
pricing_data_01,數據分析,Data Analysis,Análisis de datos,,
pricing_data_02,頻道主題、表現與影片分析,"Analyze Channel Style, Performance and Videos",Datos y análisis de efectos de videos,,
pricing_data_03,累積、成長、互動數據與統計圖表,Detailed Trend Graphics,Monstrar la tasa de crecimientos y intracciones de YouTubers intuitivamente.,,
pricing_propoasal_01,提案清單管理,Proposal Management,Gestión de los propuestas.,,
pricing_propoasal_02,管理人選清單與自訂排行榜,Manage Influencers Proposals & Cutomized Your Own Ranking Chart,Gestión de la lista de artistas y el ranking personalizado ,,
pricing_propoasal_03,團隊共同協作管理,Team Cooperation,La cooperación en equipo,,
pricing_propoasal_04,一鍵下載與分享提案數據,One-Click Export or Share Proposals,Descarga y compartir archivos con un solo clic,,
pricing_month,/月, / month,/ mes,,
,,,,,
pricing_agency_1to5_1,第 1-5 名使用者：,For the first 1 to 5,para el 1º al 5°,,
pricing_agency_per_user,每名,per user,por usuario,,
pricing_agency_1to5_3,$199/月,$199 / month,$199 / mes,,
pricing_agency_6to10_1,第 6-10 名使用者：,For the next 6 to 10,para los próximos 6° al 10°,,
pricing_agency_6to10_3,$99/月,$99 / month,$99 / mes,,
pricing_agency_11up_1,第 11 名後使用者：,For the rest,para los demás,,
pricing_agency_11up_3,$29/月,$29 / month,$29 / mes,,
pricing_login,請登入,Login,Inciae Seción,,
pricing_not_yet,即將開放,coming soon,proximamente ,,
pricing_purchase,購買,purchase,Comprar Ahora,,
pricing_purchased,已購買,purchased,Ya Comprado,,
,,,,,
pricing_major,優化您的 YouTube 行銷與事業,Optimize your YouTube marketing business,Optimiza tu marketing en YouTube,,
pricing_outreach,搜尋創作者,Find YouTube Influencers,Buscar sobre los Influencers,,
pricing_big_data,數據分析呈現,Big Data Analysis,Análisis de macrodatos,,
pricing_project_management,提案管理編輯,Proposal Management,Gestión de propuestass,,
,,,,,
pricing_we_know_you,你們要什麼，InteRed 清楚,InteRed understand what exactly you need.,InteRed sabe lo que necesite.,,
pricing_data_tool,InteRed 是為了 YouTube 商業活動所量身打造的數據分析工具。,"Regardless of service brands, agencies and YouTubers, InteRed is a data analysis tool tailored for YouTube's business activities.",InteRed es una herraminta para analizar todos los KPI de YouTube que importan a su negocio.,,
pricing_professional_analysis,無論是代理商、品牌、YouTube 創作者（YouTuber），InteRed 將頻道資料呈現一覽無遺。透過專業分析，幫助您在行銷以及創作策略上取得優勢。,InteRed shows all of the data of YouTube channel and professional analysis. It supports you to achieve success in marketing strategies.,"No importa que sea agencia, la marca o influencers, presentamos todos los KPIs de YouTube y los análisis de efectos de videos que impota su negocio.Con Intered, tiene éxito en el marketing y las estrategias de creación.","
",
,,,,,
pricing_control,掌握當前趨勢、洞悉網紅表現。,Stay at the cutting edge of market trends and understand clearly the performance of the influencer.,A la vanguardia de las tendencias y conoce el rendimiento del influencer.,,
pricing_search_tool_01,透過 InteRed 能讓代理商、品牌、YouTube 創作者（YouTuber）精準搜尋頻道。,"By using the channel searching tool, with multiple sorting options,","Agencia, marca o artista pueden encontrar canales de YouTube precisamente con IneRed.",,
pricing_search_tool_02,利用頻道關鍵指標，以最適合行銷策略的條件進行篩選、檢索。100%切合自身需求、為行銷活動快速找到適合人選，一次到位。,"InteRed helps agencies, brands and YouTubers to search for the most suitable channel for marketing projects.","dominar los índices cruciales, para ultilizar la estrategia marketing más adecudo y buscar con cierta condición",,
,,,,,
prcing_easy_plan,讓商業提案不再成為困難。,Make business plans more easily.,Facilita la propuesta comercial,,
prcing_convenient,InteRed 內建方便的提案管理系統，不必再花時間不斷搜尋、複製、貼上，讓代理商、品牌都能以數據做為基礎製作 YouTuber 提案清單。,"By using the convenient project management tool, agencies and brands can easily create YouTuber proposal list based on data.","con el sistema getión de propuestas incorporado en InteRed, no le hace falta gastar tiempo buscando, copianado y pegando",,
prcing_export,介面簡潔、一鍵匯出操作簡單，以數據作為基礎所挑出的人選公信力大大增加，,"It's very simple to complete your proposal, which is based on accurate data.",La agencia o la marca puede exportar sus lista de propuesta sobreYoutube con el base de datos,,
prcing_proposal_success,InteRed 讓你的提案無往不利。,InteRed makes your proposal successful and much easier.,InteRed le ayudamos a lograr con éxito su objetivo de la propuesta comercial.,,
pricing_trend_01,YouTube 行銷的時代正在來臨，,YouTube marketing trend is coming.,Marketing de Youtube han alcanzado la mayoría de edad,,
pricing_trend_02,你掌握趨勢了嗎？,Do you stay at the cutting edge of market trends?,¿Está en la vanguardia de las tendencias?,,
pricing_youtube_marketing_01,目前，社群行銷活動漸漸轉移至 YouTube 平台上推廣，,"Nowadays, more and more brands grow their business by influencer marketing ","hoy en dia, las actividades comerciales cada vez más activas en YouTube",,
pricing_youtube_marketing_02,越來越多的品牌決定以影音作為行銷媒介。,on YouTube as their marketing strategies.,y cada vez más marcas deciden elegir video como el tipo de medio para promocionar,,
,,,,,
pricing_difficulties,InteRed 團隊深刻理解在 YouTube 事業中可能會遭遇到的困難，,InteRed totally understands the difficulties that may happened in YouTube business.,Penamos para el éxito de su negocio en YouTube.,,
princing_saving_time,希望提供您實用且良好的使用體驗，替您節省寶貴、關鍵的時間。,"We hope to provide you with a practical and good experience, saving your valuable and critical time.",Con InteRed puede obtener los datos valiosos rápido y eficientemente.,,
princing_key_data,讓你輕鬆獲得關鍵數據，讓廠商溝通與頻道成長更順利、增加成功機會。,"It's easy for you to get key data, so that the communication and  growth are more smoothly and increase the chance of success.",Le queremos ofrecer un servicio que puede ayudar a generar acciones de marketing en YouTube completamente exitosas.,,
princing_free_consultation,預約免費諮詢,Book a free consultation,Solicite una consulta,,
princing_give_me_email,請輸入您的Email,Enter your email,Introduzca aquí su dirección de email,,
princing_we_will_contact_soon,我們已收到您的諮詢請求，專人將盡快與您聯絡,"We've recieved your request, and will contact you ASAP.","Hemos recibido su petición de información, le contestaremos lo antes posible.",,
,,,,,
rank_now,查詢喜歡的 YouTuber 排名,Find rank of YouTube Channel now,Buscar sobre el ranking del YouTuber,,
rank_input,輸入頻道名稱或網址,Enter Channel Name or URL,Ingresar la URL o nombre del canal,,
,,,,,
rank_big_data,InteRed透過大數據（Big Data）分析技術，即時掌握各頻道數據。,InteRed uses Big Data analysis to update the data of each channel timely.,,,
rank_sort_rank,並將不同YouTuber的關鍵數據進行分類與排名。,We uses the data to sort and rank for different YouTubers.,,,
,讓你輕鬆掌握優勢 YouTuber 以及自己的頻道數據。,,,,
,,,,,
,最值得信賴的 YouTube 數據分析工具,The most trusted YouTube data analysis tool.,,,
,協助經銷、代理商、多頻道聯播網(MCN)進行提案。,,,,
,以最適合的人選，精準完成內容行銷。,Finding the most suitable YouTuber for marketing projects.,,,
,,,,,
default,預設,default,Por defecto,,
country,地區,Location,Ubicación,,
category,類別,Category,Categoría,,
subscribers,訂閱數,Subscribers,Suscriptores,,
daily_subscribers,日訂閱數,Daily Subscribers,Suscriptores Diarios,,
monthly_subscribers,月訂閱數,Monthly Subscribers,Suscriptores al mes,,
monthly_subscriptions_growth,月訂閱成長率,Monthly Subscriptions Growth,Crecimiento mensual de suscriptores,有點長,
monthly_views,月觀看數,Monthly Views,Vistas mensuales,,
monthly_views_growth,月觀看成長率,Monthly Views Growth,Crecimiento mensual de vistas ,,
20_avg_views,近20支平均觀看數,The avg views of last 20 videos,Promedio de vistas de los últimos 20 vídeos,,
20_avg_engage,近20支平均互動率,The avg engagement rate of last 20 videos,Interacción media de los último 20 vídeos,,
,,,,,
monthly,,Monthly,Mensuales,,
the_avg_of_recent_videos,,Last 20 videos,Los ult. 20 vídeos,,
infoList_monthly_subscribers,月訂閱數,Subscribers,Suscriptores,,
infoList_monthly_subscriptions_growth,月訂閱成長率,Subscriptions Growth,Crecimiento de suscriptores,,
infoList_monthly_views,月觀看數,Views,Vistas,,
infoList_monthly_views_growth,月觀看成長率,Views Growth,Crecimientol de vistas,,
infoList_20_avg_views,近20支平均觀看數,Avg views,Tasa de vista prom.,,
infoList_20_avg_engage,近20支平均互動率,Avg engagement,La tasa media de interacción,,
,,,,,
rank_search_name,或者，在此條件下直接搜尋頻道名稱：,Or search by the channel name directly (by these conditions),O buscar el nombre directamente en estas condiciones,,
rank_name,輸入頻道名稱,Enter Channel Name,Introduzca el nombre del cannal,,
,,,,,
rank_1000,*列入訂閱數 1000 以上之頻道,"Include channels that have more than 1,000 subscribers",Incluye los canales con más de un mil de suscriptores,,
rank_updated_daily,*數據每日更新,Updated daily,La información se actualiza diariamente,,
rank_condition_1,在,",",en,,
rank_condition_2,的,",",",",,
rank_condition_3,排名,,,,
rank,排名,Ranking,Ranking,,
channel,頻道,Channel,Canal,,
channel_name,頻道名稱,Channel Name,El nombre del canal,,
channel_subscriber,頻道訂閱數,Subscribers,Suscriptores,,
channel_daily_subscribers,頻道日訂閱數,Daily Subscribers,Suscriptores diarios,,
channel_monthly_subscribers_gorwth,頻道月訂閱數,Monthly Subscribers Growth,Suscriptores por mes,,
channel_monthly_subscriptions_growth,頻道月訂閱成長率,Monthly Subscriptions Growth,Crecimiento de suscriptores al mes,,
channel_monthly_views,頻道月觀看數,Monthly Views,Vistas totales por mes,,
channel_monthly_views_growth,頻道月觀看成長率,Monthly Views Growth,Crecimiento de vistas totales por mes,,
channel_20_avg_views,頻道近20支平均觀看數,The avg views of last 20 videos,Promedio de visualizaciones de los últimos 20 vídeos,,
channel_20_avg_engage,頻道近20支平均互動率,The avg engagement rate of last 20 videos,La tasa media de interacción de los últimos 20 vídeos,,
,,,,,
channel_url,頻道連結,Channel URL,URL del canal,,
,,,,,
rank_want_more,想得到更詳細的頻道數據分析資料嗎?,Want more detailed channel data?,¿Más informaciones de los canales?,,
rank_more_data,取得更多資料,MORE DATA,Más datos,,
rank_more,更多,More,Más,,
,,,,,
send,送出,send,Enviar,,
or,或, or , o,,
rank_no_result_01,沒有出現您想要的結果嗎?,No result?,¿No hay resultado?,(delete),
rank_no_result_02,您可以試試,,Podría intentar,小建議,(頻道畫面截圖)
rank_no_result_03,嘗試其他關鍵字,Try different keywords ,ingresar otras palabras,檢查關鍵字,
rank_no_result_04,"將地區調整為 ""All""","change the location to ""All""","Cambiar la ubicación a ""All""",,
rank_no_result_05,直接輸入頻道 ID,Type the channel ID to reach the ranking,Introduzca el nombre del cannal,,
,,,,,
rank_want_more_01,想看到更多排行嗎? ,Want to see more?,¿Quiere ver más?,,Login to reach out the full ranking list
rank_want_more_02,查看付費方案,Upgrade now!,¡Actualizar su plan ahora!,登入搶先體驗完整功能 ,(delete)
rank_want_more_03,輸入名稱搜尋頻道排名吧!,Search channel by using its name as keyword,Ingrese el nombre del canal,頻道名稱查看排名,
rank_retry,重新查詢,retry,Inténtelo de nuevo,,
,,,,,
,InteRed 結合大數據分析 YouTube 頻道表現，,"To help you find the most suitable YouTuber for projects, InteRed uses data analysis to analyze the performance of YouTube channel.",,,
,讓你找到最適合的創作者、精準完成提案。,,,,
,了解更多 InteRed 所提供的數據及提案管理功能！,Learn more about InteRed's data and proposal management features!,,,
,,,,,
info_list_channel_search_tip,輸入任何頻道名稱,Any channel name,Nombre del canal,,
info_list_video_search_tip,輸入任何影片主題,Any video topic,Tema del vídeo,,
info_list_channel_search,頻道檢索,Channel searching,Buscar sobre los canales,,
info_list_video_search,影片檢索,Video searching,Buscar sobre los vídeos,,
info_list_sort,排序條件,Sort by,Ordenar por,,
info_list_sort_relevance,關聯性,Relevance,Pertinencia ,,
info_list_sort_default_relevance,（預設為關聯性）,Relevance (default),Pertinencia (por defecto),,
info_list_sort_default,（預設為訂閱數）,Subscribers (default),Suscrito (por defecto),,
info_list_sort_high,由大到小,Highest first,de más alto a más bajo,,
info_list_sort_low,由小到大,Lowest first,de más bajo a más alto,,
info_list_type_autos,汽車與交通工具,Autos & Vehicles,Vehículos,,
info_list_type_comedy,喜劇,Comedy,Comedia,,
info_list_type_education,教育,Education,Educación,,
info_list_type_entertainment,娛樂,Entertainment,"Entretenimiento

",,
info_list_type_film,電影與動畫,Film & Animation,Cine y animación,,
info_list_type_gaming,遊戲,Gaming,Videojuegos,,
info_list_type_howto,DIY 教學,Howto & Style,Consejos y estilo,,
info_list_type_music,音樂,Music,Música,,
info_list_type_news,新聞與政治,News & Politics,Noticias y política,,
info_list_type_nonprofits,非營利組織與社運活動,Nonprofits & Activism,ONG y activismo,,
info_list_type_people,人物與網誌,People & Blogs,Gente y blogs,,
info_list_type_pets,寵物與動物,Pets & Animals,Mascotas y animales,,
info_list_type_science,科學與科技,Science & Technology,Ciencia y tecnología,,
info_list_type_shows,節目,Shows,Programas,,
info_list_type_sports,體育,Sports,Deportes,,
info_list_type_travel,旅行與活動,Travel & Events,Viajes y eventos,,
,,,,,
info_list_channel_input,搜尋頻道名稱,Search for a channel name,Buscar sobre el nombre del canal,,
info_list_video_input,"搜尋影片主題 像是""美妝""","Search for a topic, like ""makeup""","Buscar sobre el tema, como ""maquillaje""",,
info_list_video_category,影片類型,Video Category,Categorías de YouTube,,
info_list_video_views,影片觀看數,Views,Vistas,,
info_list_video_engage,影片互動率,Engagement Rate,Tasa de Interacción,,
info_list_video_channel,頻道詳細資訊,Channel Information,Información del canal,,
,,,,,
info_list_monthly,,Last month,El último mes,,
info_list_monthly_subscriptions_growth,月訂閱成長率,Sub. Growth,El crecimiento de suscriptores por mes,,
info_list_monthly_views,月觀看數,Views,Vistas,,
info_list_monthly_views_growth,月觀看成長率,Views Growth,El crecimiento de vistas,,
info_list_monthly_views_growth,,Last 20 videos,Los últimos 20 videos,,
info_list_monthly_views_growth,頻道近20支平均觀看數,Avg views,Promedio de vistas de los últimos 20 videos,,
info_list_monthly_views_growth,頻道近20支平均互動率,Avg engagement rate,Interacción media de los últimos 20 videos,,
,,,,,
info_clean_list,清空,Clear,Eliminar,,
info_list_import,匯入至提案,Import,Impotar,,
info_list_already_improted,已匯入至提案中,Already Imported,Ya se ha importado,,
,,,,,
info_about,頻道資訊,About,Informacioón del canal,,
,,,,,
info_total_views,總觀看次數,Total Views,Vistas totales,,
info_avg_engage,平均互動率,Average engagement rate,La tasa media de interacción,,
info_topic,類型,Category,Categoría,,
info_total_videos,影片總數,Total videos,Números de videos,,
info_subscribers,訂閱數,Subscribers,Suscriptores,,
,,,,,
info_info,基本資訊,Information,Información,,
info_theme,影片主題,Theme,Tema,,
info_category,影片分類,Category,Categoría,,
,,,,,
info_interval,每區間人數,People per interval,,,
,,,,,
info_recent,近期影片表現,The performance of recent videos,El rendimiento de los últimos videos,,
info_20,最近20支,Last 20 videos,Los último 20 videos,,
